State,Talent,SOC,Occupation,Employment_2025,Employment_2024,Total_State_Employment_2025,Projection_Base,Projection_2034,Annual_Openings,Average_Annual_Salary_USD
Alabama,Digital,15-1253,Software Quality Assurance Analysts and Testers,1760.0,1910.0,2113660,1900.0,2020.0,120.0,105650.0
Alabama,Digital,15-1254,Web Developers,930.0,790.0,2113660,890.0,940.0,60.0,
Alabama,Digital,15-1255,Web and Digital Interface Designers,130.0,130.0,2113660,270.0,290.0,20.0,73190.0
Alabama,Digital,15-2031,Operations Research Analysts,550.0,500.0,2113660,500.0,590.0,40.0,117850.0
Alabama,Digital,15-2041,Statisticians,200.0,200.0,2113660,270.0,300.0,20.0,79820.0
Alabama,Digital,15-2051,Data Scientists,1740.0,1620.0,2113660,1710.0,2300.0,160.0,105180.0
Alabama,Technical,17-1011,"Architects, Except Landscape and Naval",990.0,1270.0,2113660,1440.0,1480.0,90.0,110110.0
Alabama,Technical,17-1022,Surveyors,910.0,830.0,2113660,880.0,920.0,60.0,71980.0
Alabama,Technical,17-2011,Aerospace Engineers,5820.0,5570.0,2113660,5690.0,6170.0,380.0,131910.0
Alabama,Technical,17-2041,Chemical Engineers,600.0,540.0,2113660,570.0,580.0,30.0,124470.0
Alabama,Technical,17-2051,Civil Engineers,5370.0,5920.0,2113660,6220.0,6530.0,400.0,107550.0
Alabama,Technical,17-2061,Computer Hardware Engineers,680.0,800.0,2113660,760.0,780.0,40.0,138870.0
Alabama,Technical,17-2071,Electrical Engineers,4600.0,4470.0,2113660,4720.0,5090.0,290.0,126380.0
Alabama,Technical,17-2072,"Electronics Engineers, Except Computer",1940.0,1780.0,2113660,1730.0,1880.0,110.0,126500.0
Alabama,Technical,17-2112,Industrial Engineers,7650.0,8040.0,2113660,8130.0,9630.0,660.0,104900.0
Alabama,Technical,17-2131,Materials Engineers,650.0,660.0,2113660,660.0,720.0,40.0,114610.0
Alabama,Technical,17-2141,Mechanical Engineers,,5480.0,2113660,5600.0,6290.0,370.0,109330.0
Alabama,Technical,17-2199,"Engineers, All Other",3460.0,3370.0,2113660,3180.0,3160.0,180.0,146450.0
Alabama,Technical,17-3011,Architectural and Civil Drafters,1010.0,1350.0,2113660,1390.0,1440.0,120.0,57890.0
Alabama,Technical,17-3012,Electrical and Electronics Drafters,300.0,290.0,2113660,310.0,300.0,30.0,56840.0
Alabama,Technical,17-3013,Mechanical Drafters,440.0,590.0,2113660,640.0,630.0,50.0,61230.0
Alabama,Technical,17-3023,Electrical and Electronic Engineering Technologists and Technicians,1620.0,1950.0,2113660,1930.0,2040.0,190.0,75430.0
Alabama,Technical,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,70.0,70.0,2113660,80.0,80.0,10.0,70130.0
Alabama,Technical,17-3027,Mechanical Engineering Technologists and Technicians,400.0,350.0,2113660,370.0,380.0,30.0,64030.0
Alabama,Technical,17-3031,Surveying and Mapping Technicians,1320.0,1210.0,2113660,1270.0,1320.0,160.0,50730.0
Alabama,Technical,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",13390.0,12790.0,2113660,13330.0,14160.0,1190.0,78470.0
Alabama,Technical,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",930.0,970.0,2113660,980.0,970.0,80.0,69380.0
Alabama,Technical,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",8260.0,7330.0,2113660,8000.0,8810.0,780.0,51320.0
Alabama,Technical,49-9041,Industrial Machinery Mechanics,17850.0,17110.0,2113660,17850.0,21810.0,2010.0,64300.0
Alabama,Technical,49-9044,Millwrights,1400.0,1880.0,2113660,1900.0,2000.0,180.0,61940.0
Alabama,Technical,49-9051,Electrical Power-Line Installers and Repairers,2730.0,3120.0,2113660,3590.0,3840.0,300.0,82460.0
Alabama,Technical,51-1011,First-Line Supervisors of Production and Operating Workers,20670.0,19370.0,2113660,20100.0,21750.0,2160.0,76100.0
Alabama,Technical,51-4041,Machinists,5170.0,5620.0,2113660,5700.0,6140.0,630.0,57860.0
Alabama,Technical,51-4111,Tool and Die Makers,690.0,870.0,2113660,870.0,890.0,90.0,63350.0
Alabama,Technical,51-4121,"Welders, Cutters, Solderers, and Brazers",12450.0,12570.0,2113660,13600.0,15010.0,1520.0,51120.0
Alabama,Technical,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",400.0,300.0,2113660,330.0,310.0,30.0,35210.0
Alabama,Technical,51-8013,Power Plant Operators,790.0,730.0,2113660,970.0,820.0,70.0,102330.0
Alabama,Technical,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",2220.0,2340.0,2113660,2350.0,2250.0,220.0,48200.0
Alaska,Digital,15-1211,Computer Systems Analysts,420.0,490.0,325570,600.0,620.0,40.0,95750.0
Alaska,Digital,15-1212,Information Security Analysts,300.0,210.0,325570,110.0,110.0,10.0,117930.0
Alaska,Digital,15-1241,Computer Network Architects,120.0,110.0,325570,120.0,120.0,10.0,127400.0
Alaska,Digital,15-1242,Database Administrators,90.0,90.0,325570,170.0,170.0,10.0,103520.0
Alaska,Digital,15-1243,Database Architects,70.0,40.0,325570,,,,106680.0
Alaska,Digital,15-1244,Network and Computer Systems Administrators,920.0,650.0,325570,650.0,650.0,30.0,95490.0
Alaska,Digital,15-1251,Computer Programmers,530.0,520.0,325570,530.0,530.0,30.0,98240.0
Alaska,Digital,15-1252,Software Developers,530.0,430.0,325570,330.0,330.0,20.0,
Alaska,Digital,15-1255,Web and Digital Interface Designers,30.0,50.0,325570,40.0,30.0,0.0,76110.0
Alaska,Digital,15-2031,Operations Research Analysts,70.0,60.0,325570,80.0,80.0,0.0,89070.0
Alaska,Digital,15-2041,Statisticians,80.0,60.0,325570,60.0,60.0,0.0,
Alaska,Digital,15-2051,Data Scientists,230.0,210.0,325570,60.0,60.0,0.0,89810.0
Alaska,Technical,17-1011,"Architects, Except Landscape and Naval",210.0,160.0,325570,160.0,160.0,10.0,108080.0
Alaska,Technical,17-1021,Cartographers and Photogrammetrists,60.0,70.0,325570,100.0,100.0,10.0,90840.0
Alaska,Technical,17-1022,Surveyors,250.0,290.0,325570,380.0,370.0,20.0,104340.0
Alaska,Technical,17-2011,Aerospace Engineers,100.0,80.0,325570,40.0,30.0,0.0,113920.0
Alaska,Technical,17-2041,Chemical Engineers,,,325570,,,,121780.0
Alaska,Technical,17-2051,Civil Engineers,1670.0,1540.0,325570,1200.0,1200.0,70.0,118830.0
Alaska,Technical,17-2071,Electrical Engineers,350.0,380.0,325570,290.0,290.0,20.0,122500.0
Alaska,Technical,17-2072,"Electronics Engineers, Except Computer",180.0,370.0,325570,60.0,60.0,0.0,117490.0
Alaska,Technical,17-2112,Industrial Engineers,220.0,230.0,325570,50.0,50.0,0.0,157200.0
Alaska,Technical,17-2131,Materials Engineers,70.0,70.0,325570,40.0,40.0,0.0,116720.0
Alaska,Technical,17-2141,Mechanical Engineers,380.0,530.0,325570,340.0,350.0,20.0,126160.0
Alaska,Technical,17-2199,"Engineers, All Other",200.0,280.0,325570,830.0,840.0,50.0,144180.0
